Date,Date_YMD,State_Abbr,Confirmed,Deceased,Recovered,State,Active Variance,Active
14-Mar-20,2020-03-14,AN,0,0,0,Andaman and Nicobar Islands,0,0
14-Mar-20,2020-03-14,AP,1,0,0,Andhra Pradesh,1,1
14-Mar-20,2020-03-14,AR,0,0,0,Arunachal Pradesh,0,0
14-Mar-20,2020-03-14,AS,0,0,0,Assam,0,0
14-Mar-20,2020-03-14,BR,0,0,0,Bihar,0,0
14-Mar-20,2020-03-14,CH,0,0,0,Chandigarh,0,0
14-Mar-20,2020-03-14,CT,0,0,0,Chhattisgarh,0,0
14-Mar-20,2020-03-14,DD,0,0,0,,0,0
14-Mar-20,2020-03-14,DL,7,1,1,Delhi,5,5
14-Mar-20,2020-03-14,DN,0,0,0,,0,0
14-Mar-20,2020-03-14,GA,0,0,0,Goa,0,0
14-Mar-20,2020-03-14,GJ,0,0,0,Gujarat,0,0
14-Mar-20,2020-03-14,HP,0,0,0,Himachal Pradesh,0,0
14-Mar-20,2020-03-14,HR,14,0,0,Haryana,14,14
14-Mar-20,2020-03-14,JH,0,0,0,Jharkhand,0,0
14-Mar-20,2020-03-14,JK,2,0,0,Jammu and Kashmir,2,2
14-Mar-20,2020-03-14,KA,6,1,0,Karnataka,5,5
14-Mar-20,2020-03-14,KL,19,0,3,Kerala,16,16
14-Mar-20,2020-03-14,LA,0,0,0,Ladakh,0,0
14-Mar-20,2020-03-14,LD,0,0,0,Lakshadweep,0,0
14-Mar-20,2020-03-14,MH,14,0,0,Maharashtra,14,14
14-Mar-20,2020-03-14,ML,0,0,0,Meghalaya,0,0
14-Mar-20,2020-03-14,MN,0,0,0,Manipur,0,0
14-Mar-20,2020-03-14,MP,0,0,0,Madhya Pradesh,0,0
14-Mar-20,2020-03-14,MZ,0,0,0,Mizoram,0,0
14-Mar-20,2020-03-14,NL,0,0,0,Nagaland,0,0
14-Mar-20,2020-03-14,OR,0,0,0,Odisha,0,0
14-Mar-20,2020-03-14,PB,1,0,0,Punjab,1,1
14-Mar-20,2020-03-14,PY,0,0,0,Puducherry,0,0
14-Mar-20,2020-03-14,RJ,3,0,1,Rajasthan,2,2
14-Mar-20,2020-03-14,SK,0,0,0,Sikkim,0,0
14-Mar-20,2020-03-14,TG,1,0,0,Telangana,1,1
14-Mar-20,2020-03-14,TN,1,0,0,Tamil Nadu,1,1
14-Mar-20,2020-03-14,TR,0,0,0,Tripura,0,0
14-Mar-20,2020-03-14,UN,0,0,0,Dadra and Nagar Haveli and Daman and Diu,0,0
14-Mar-20,2020-03-14,UP,12,0,4,Uttar Pradesh,8,8
14-Mar-20,2020-03-14,UT,0,0,0,Uttarakhand,0,0
14-Mar-20,2020-03-14,WB,0,0,0,West Bengal,0,0
14-Mar-20,2020-03-14,_TT,81,2,9,,70,70
15-Mar-20,2020-03-15,AN,0,0,0,Andaman and Nicobar Islands,0,0
15-Mar-20,2020-03-15,AP,0,0,0,Andhra Pradesh,0,1
15-Mar-20,2020-03-15,AR,0,0,0,Arunachal Pradesh,0,0
15-Mar-20,2020-03-15,AS,0,0,0,Assam,0,0
15-Mar-20,2020-03-15,BR,0,0,0,Bihar,0,0
15-Mar-20,2020-03-15,CH,0,0,0,Chandigarh,0,0
15-Mar-20,2020-03-15,CT,0,0,0,Chhattisgarh,0,0
15-Mar-20,2020-03-15,DD,0,0,0,,0,0
15-Mar-20,2020-03-15,DL,0,0,1,Delhi,-1,4
15-Mar-20,2020-03-15,DN,0,0,0,,0,0
15-Mar-20,2020-03-15,GA,0,0,0,Goa,0,0
15-Mar-20,2020-03-15,GJ,0,0,0,Gujarat,0,0
15-Mar-20,2020-03-15,HP,0,0,0,Himachal Pradesh,0,0
15-Mar-20,2020-03-15,HR,0,0,0,Haryana,0,14
15-Mar-20,2020-03-15,JH,0,0,0,Jharkhand,0,0
15-Mar-20,2020-03-15,JK,0,0,0,Jammu and Kashmir,0,2
15-Mar-20,2020-03-15,KA,0,0,0,Karnataka,0,5
15-Mar-20,2020-03-15,KL,5,0,0,Kerala,5,21
15-Mar-20,2020-03-15,LA,0,0,0,Ladakh,0,0
15-Mar-20,2020-03-15,LD,0,0,0,Lakshadweep,0,0
15-Mar-20,2020-03-15,MH,18,0,0,Maharashtra,18,32
15-Mar-20,2020-03-15,ML,0,0,0,Meghalaya,0,0
15-Mar-20,2020-03-15,MN,0,0,0,Manipur,0,0
15-Mar-20,2020-03-15,MP,0,0,0,Madhya Pradesh,0,0
15-Mar-20,2020-03-15,MZ,0,0,0,Mizoram,0,0
15-Mar-20,2020-03-15,NL,0,0,0,Nagaland,0,0
15-Mar-20,2020-03-15,OR,0,0,0,Odisha,0,0
15-Mar-20,2020-03-15,PB,0,0,0,Punjab,0,1
15-Mar-20,2020-03-15,PY,0,0,0,Puducherry,0,0
15-Mar-20,2020-03-15,RJ,1,0,2,Rajasthan,-1,1
15-Mar-20,2020-03-15,SK,0,0,0,Sikkim,0,0
15-Mar-20,2020-03-15,TG,2,0,1,Telangana,1,2
15-Mar-20,2020-03-15,TN,0,0,0,Tamil Nadu,0,1
15-Mar-20,2020-03-15,TR,0,0,0,Tripura,0,0
15-Mar-20,2020-03-15,UN,0,0,0,Dadra and Nagar Haveli and Daman and Diu,0,0
15-Mar-20,2020-03-15,UP,1,0,0,Uttar Pradesh,1,9
15-Mar-20,2020-03-15,UT,0,0,0,Uttarakhand,0,0
15-Mar-20,2020-03-15,WB,0,0,0,West Bengal,0,0
15-Mar-20,2020-03-15,_TT,27,0,4,,23,93
16-Mar-20,2020-03-16,AN,0,0,0,Andaman and Nicobar Islands,0,0
16-Mar-20,2020-03-16,AP,0,0,0,Andhra Pradesh,0,1
16-Mar-20,2020-03-16,AR,0,0,0,Arunachal Pradesh,0,0
16-Mar-20,2020-03-16,AS,0,0,0,Assam,0,0
16-Mar-20,2020-03-16,BR,0,0,0,Bihar,0,0
16-Mar-20,2020-03-16,CH,0,0,0,Chandigarh,0,0
16-Mar-20,2020-03-16,CT,0,0,0,Chhattisgarh,0,0
16-Mar-20,2020-03-16,DD,0,0,0,,0,0
16-Mar-20,2020-03-16,DL,0,0,0,Delhi,0,4
16-Mar-20,2020-03-16,DN,0,0,0,,0,0
16-Mar-20,2020-03-16,GA,0,0,0,Goa,0,0
16-Mar-20,2020-03-16,GJ,0,0,0,Gujarat,0,0
16-Mar-20,2020-03-16,HP,0,0,0,Himachal Pradesh,0,0
16-Mar-20,2020-03-16,HR,0,0,0,Haryana,0,14
16-Mar-20,2020-03-16,JH,0,0,0,Jharkhand,0,0
16-Mar-20,2020-03-16,JK,1,0,0,Jammu and Kashmir,1,3
16-Mar-20,2020-03-16,KA,1,0,0,Karnataka,1,6
16-Mar-20,2020-03-16,KL,3,0,0,Kerala,3,24
16-Mar-20,2020-03-16,LA,0,0,0,Ladakh,0,0
16-Mar-20,2020-03-16,LD,0,0,0,Lakshadweep,0,0
16-Mar-20,2020-03-16,MH,6,0,0,Maharashtra,6,38
16-Mar-20,2020-03-16,ML,0,0,0,Meghalaya,0,0
16-Mar-20,2020-03-16,MN,0,0,0,Manipur,0,0
16-Mar-20,2020-03-16,MP,0,0,0,Madhya Pradesh,0,0
16-Mar-20,2020-03-16,MZ,0,0,0,Mizoram,0,0
16-Mar-20,2020-03-16,NL,0,0,0,Nagaland,0,0
16-Mar-20,2020-03-16,OR,1,0,0,Odisha,1,1
16-Mar-20,2020-03-16,PB,0,0,0,Punjab,0,1
16-Mar-20,2020-03-16,PY,1,0,0,Puducherry,1,1
16-Mar-20,2020-03-16,RJ,0,0,0,Rajasthan,0,1
16-Mar-20,2020-03-16,SK,0,0,0,Sikkim,0,0
16-Mar-20,2020-03-16,TG,1,0,0,Telangana,1,3
16-Mar-20,2020-03-16,TN,0,0,1,Tamil Nadu,-1,0
16-Mar-20,2020-03-16,TR,0,0,0,Tripura,0,0
16-Mar-20,2020-03-16,UN,0,0,0,Dadra and Nagar Haveli and Daman and Diu,0,0
16-Mar-20,2020-03-16,UP,0,0,0,Uttar Pradesh,0,9
16-Mar-20,2020-03-16,UT,1,0,0,Uttarakhand,1,1
16-Mar-20,2020-03-16,WB,0,0,0,West Bengal,0,0
16-Mar-20,2020-03-16,_TT,15,0,1,,14,107
17-Mar-20,2020-03-17,AN,0,0,0,Andaman and Nicobar Islands,0,0
17-Mar-20,2020-03-17,AP,0,0,0,Andhra Pradesh,0,1
17-Mar-20,2020-03-17,AR,0,0,0,Arunachal Pradesh,0,0
