Date,Date_YMD,State Abbr,State,Confirmed,Recovered,Deceased,Active Difference,Active
14-Mar-20,2020-03-14,AN,Andaman and Nicobar Islands,0,0,0,0,0
14-Mar-20,2020-03-14,AP,Andhra Pradesh,1,0,0,1,1
14-Mar-20,2020-03-14,AR,Arunachal Pradesh,0,0,0,0,0
14-Mar-20,2020-03-14,AS,Assam,0,0,0,0,0
14-Mar-20,2020-03-14,BR,Bihar,0,0,0,0,0
14-Mar-20,2020-03-14,CH,Chandigarh,0,0,0,0,0
14-Mar-20,2020-03-14,CT,Chhattisgarh,0,0,0,0,0
14-Mar-20,2020-03-14,DL,Delhi,7,1,1,5,5
14-Mar-20,2020-03-14,DN,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0
14-Mar-20,2020-03-14,GA,Goa,0,0,0,0,0
14-Mar-20,2020-03-14,GJ,Gujarat,0,0,0,0,0
14-Mar-20,2020-03-14,HP,Himachal Pradesh,0,0,0,0,0
14-Mar-20,2020-03-14,HR,Haryana,14,0,0,14,14
14-Mar-20,2020-03-14,JH,Jharkhand,0,0,0,0,0
14-Mar-20,2020-03-14,JK,Jammu and Kashmir,2,0,0,2,2
14-Mar-20,2020-03-14,KA,Karnataka,6,0,1,5,5
14-Mar-20,2020-03-14,KL,Kerala,19,3,0,16,16
14-Mar-20,2020-03-14,LA,Ladakh,0,0,0,0,0
14-Mar-20,2020-03-14,LD,Lakshadweep,0,0,0,0,0
14-Mar-20,2020-03-14,MH,Maharashtra,14,0,0,14,14
14-Mar-20,2020-03-14,ML,Meghalaya,0,0,0,0,0
14-Mar-20,2020-03-14,MN,Manipur,0,0,0,0,0
14-Mar-20,2020-03-14,MP,Madhya Pradesh,0,0,0,0,0
14-Mar-20,2020-03-14,MZ,Mizoram,0,0,0,0,0
14-Mar-20,2020-03-14,NL,Nagaland,0,0,0,0,0
14-Mar-20,2020-03-14,OR,Odisha,0,0,0,0,0
14-Mar-20,2020-03-14,PB,Punjab,1,0,0,1,1
14-Mar-20,2020-03-14,PY,Puducherry,0,0,0,0,0
14-Mar-20,2020-03-14,RJ,Rajasthan,3,1,0,2,2
14-Mar-20,2020-03-14,SK,Sikkim,0,0,0,0,0
14-Mar-20,2020-03-14,TG,Telangana,1,0,0,1,1
14-Mar-20,2020-03-14,TN,Tamil Nadu,1,0,0,1,1
14-Mar-20,2020-03-14,TR,Tripura,0,0,0,0,0
14-Mar-20,2020-03-14,UN,State Unassigned,0,0,0,0,0
14-Mar-20,2020-03-14,UP,Uttar Pradesh,12,4,0,8,8
14-Mar-20,2020-03-14,UT,Uttarakhand,0,0,0,0,0
14-Mar-20,2020-03-14,WB,West Bengal,0,0,0,0,0
14-Mar-20,2020-03-14,_TT,Total,81,9,2,70,70
15-Mar-20,2020-03-15,AN,Andaman and Nicobar Islands,0,0,0,0,0
15-Mar-20,2020-03-15,AP,Andhra Pradesh,0,0,0,0,1
15-Mar-20,2020-03-15,AR,Arunachal Pradesh,0,0,0,0,0
15-Mar-20,2020-03-15,AS,Assam,0,0,0,0,0
15-Mar-20,2020-03-15,BR,Bihar,0,0,0,0,0
15-Mar-20,2020-03-15,CH,Chandigarh,0,0,0,0,0
